Date,Site_ID,Error,Combined_DateTime,2368-1,2368-10,2368-11,2368-12,2368-13,2368-14,2368-15,2368-16,2368-17,2368-18,2368-19,2368-2,2368-20,2368-21,2368-22,2368-23,2368-24,2368-3,2368-4,2368-5,2368-6,2368-7,2368-8,2368-9
8/03/2023,2368,False,2023-08-03 12:35:00,39,23,37,50,3,7,9,32,24,1,1,9,1,0,43,8,1,24,41,2047,10,41,46,21
8/03/2023,2368,False,2023-08-03 12:40:00,32,17,26,48,8,8,16,23,25,8,0,10,1,0,25,0,0,28,41,2047,22,43,43,17
8/03/2023,2368,False,2023-08-03 12:45:00,14,15,29,46,11,10,17,24,23,4,3,17,5,0,51,0,0,26,34,2047,14,62,35,22
8/03/2023,2368,False,2023-08-03 12:50:00,41,16,32,49,7,11,18,26,28,9,0,13,3,0,31,1,1,35,39,2047,18,44,52,22
8/03/2023,2368,False,2023-08-03 12:55:00,40,17,35,49,11,26,16,25,24,0,7,10,1,0,46,3,2,31,43,2047,18,54,45,20
8/03/2023,2368,False,2023-08-03 13:00:00,31,19,23,60,9,34,12,26,27,12,2,11,0,0,32,0,0,24,47,2047,13,44,27,11
8/03/2023,2368,False,2023-08-03 13:05:00,22,15,39,61,9,41,17,25,19,12,6,7,1,0,58,1,0,20,40,2047,17,61,60,18
8/03/2023,2368,False,2023-08-03 13:10:00,23,10,34,37,7,6,11,18,24,0,3,8,0,0,33,1,0,30,42,2047,15,44,37,34
8/03/2023,2368,False,2023-08-03 13:15:00,58,12,38,30,5,9,18,19,17,3,0,8,1,0,59,1,1,26,35,2047,17,66,44,26
8/03/2023,2368,False,2023-08-03 13:20:00,23,21,34,37,11,8,18,19,17,2,0,20,1,0,33,2,3,21,39,2047,19,45,32,14
8/03/2023,2368,False,2023-08-03 13:25:00,91,17,37,65,6,12,18,23,22,11,3,15,1,0,30,3,5,27,49,2047,12,34,40,15
8/03/2023,2368,False,2023-08-03 13:30:00,34,19,30,53,4,13,18,28,21,6,6,10,0,0,49,1,0,13,40,2047,14,60,32,19
8/03/2023,2368,False,2023-08-03 13:35:00,37,5,28,52,10,11,21,32,26,7,10,15,2,0,43,1,1,39,41,2047,23,63,36,17
8/03/2023,2368,False,2023-08-03 13:40:00,33,21,23,66,12,26,13,19,17,5,1,13,1,0,47,1,1,37,37,2047,16,69,46,11
8/03/2023,2368,False,2023-08-03 13:45:00,58,13,37,44,11,32,24,35,31,8,0,10,1,0,41,3,1,21,40,2047,14,46,32,40
8/03/2023,2368,False,2023-08-03 13:50:00,43,16,33,39,11,32,14,24,19,0,1,7,1,0,82,0,6,27,38,2047,16,56,53,111
8/03/2023,2368,False,2023-08-03 13:55:00,19,20,41,55,10,32,23,27,24,2,3,14,1,0,78,3,0,33,47,2047,17,49,36,101
8/03/2023,2368,False,2023-08-03 14:00:00,49,14,55,52,17,28,27,29,24,19,5,13,2,0,78,3,1,22,47,2047,14,44,46,95
8/03/2023,2368,False,2023-08-03 14:05:00,32,20,37,33,12,15,19,35,32,10,2,11,2,0,28,5,1,20,41,2047,16,41,38,26
8/03/2023,2368,False,2023-08-03 14:10:00,23,12,35,32,13,12,20,26,24,0,4,12,1,0,43,2,2,24,40,2047,14,49,64,22
8/03/2023,2368,False,2023-08-03 14:15:00,29,19,38,40,9,10,29,32,30,5,6,16,2,0,52,1,2,36,55,2047,17,85,30,18
8/03/2023,2368,False,2023-08-03 14:20:00,57,23,38,48,10,4,24,27,22,1,1,14,4,0,41,1,2,37,53,2047,13,28,63,26
8/03/2023,2368,False,2023-08-03 14:25:00,54,13,38,37,7,14,31,46,31,3,2,14,0,0,33,2,3,22,46,2047,29,37,36,39
8/03/2023,2368,False,2023-08-03 14:30:00,50,18,41,47,17,16,33,32,30,1,1,17,2,0,65,0,0,40,46,2047,14,74,44,22
8/03/2023,2368,False,2023-08-03 14:35:00,42,28,33,35,3,23,22,41,20,2,1,12,0,0,56,4,3,25,42,2047,29,67,66,17
8/03/2023,2368,False,2023-08-03 14:40:00,21,20,43,67,14,34,25,36,33,3,5,9,0,0,23,2,1,31,52,2047,24,39,22,19
